"participation","year","count"
"1004265","2017",0
"1004265","2018",3
"1004265","2019",3
"1004265","2020",4
"1004265","2021",1
"1004265","2022",4
"1004265","2023",2
"1004287","2017",0
"1004287","2018",1
"1004287","2019",2
"1004287","2020",0
"1004287","2021",0
"1004287","2022",0
"1004287","2023",0
"1005804","2017",0
"1005804","2018",1
"1005804","2019",1
"1005804","2020",0
"1005804","2021",0
"1005804","2022",1
"1005804","2023",1
"1008463","2017",0
"1008463","2018",0
"1008463","2019",1
"1008463","2020",0
"1008463","2021",0
"1008463","2022",0
"1008463","2023",1
"1008537","2017",0
"1008537","2018",1
"1008537","2019",1
"1008537","2020",0
"1008537","2021",1
"1008537","2022",0
"1008537","2023",0
"1009141","2017",0
"1009141","2018",1
"1009141","2019",0
"1009141","2020",0
"1009141","2021",1
"1009141","2022",0
"1009141","2023",0
"1009269","2017",0
"1009269","2018",1
"1009269","2019",0
"1009269","2020",0
"1009269","2021",0
"1009269","2022",0
"1009269","2023",0
"1009270","2017",0
"1009270","2018",1
"1009270","2019",1
"1009270","2020",0
"1009270","2021",0
"1009270","2022",1
"1009270","2023",0
"1009400","2017",1
"1009400","2018",1
"1009400","2019",1
"1009400","2020",1
"1009400","2021",1
"1009400","2022",0
"1009400","2023",3
"1010120","2017",0
"1010120","2018",0
"1010120","2019",1
"1010120","2020",1
"1010120","2021",1
"1010120","2022",1
"1010120","2023",2
"1010142","2017",0
"1010142","2018",0
"1010142","2019",1
"1010142","2020",0
"1010142","2021",0
"1010142","2022",0
"1010142","2023",0
"1010178","2017",0
"1010178","2018",1
"1010178","2019",1
"1010178","2020",0
"1010178","2021",0
"1010178","2022",1
"1010178","2023",1
"1010180","2017",0
"1010180","2018",1
"1010180","2019",1
"1010180","2020",0
"1010180","2021",0
"1010180","2022",1
"1010180","2023",0
"1010211","2017",0
"1010211","2018",1
"1010211","2019",1
"1010211","2020",0
"1010211","2021",0
"1010211","2022",0
"1010211","2023",0
"1010300","2017",0
"1010300","2018",1
"1010300","2019",1
"1010300","2020",0
"1010300","2021",1
"1010300","2022",0
"1010300","2023",0
"1010305","2017",0
"1010305","2018",1
"1010305","2019",0
"1010305","2020",1
"1010305","2021",0
"1010305","2022",0
"1010305","2023",1
"1010345","2017",0
"1010345","2018",1
"1010345","2019",1
"1010345","2020",0
"1010345","2021",0
"1010345","2022",0
"1010345","2023",0
"1010432","2017",0
"1010432","2018",0
"1010432","2019",1
"1010432","2020",0
"1010432","2021",0
"1010432","2022",0
"1010432","2023",0
"1010490","2017",0
"1010490","2018",1
"1010490","2019",1
"1010490","2020",0
"1010490","2021",0
"1010490","2022",0
"1010490","2023",0
"1010500","2017",0
"1010500","2018",0
"1010500","2019",1
"1010500","2020",0
"1010500","2021",0
"1010500","2022",1
"1010500","2023",0
"1010527","2017",0
"1010527","2018",0
"1010527","2019",1
"1010527","2020",0
"1010527","2021",0
"1010527","2022",0
"1010527","2023",0
"1010535","2017",0
"1010535","2018",1
"1010535","2019",1
"1010535","2020",0
"1010535","2021",1
"1010535","2022",0
"1010535","2023",1
"1010594","2017",0
"1010594","2018",2
"1010594","2019",2
"1010594","2020",1
"1010594","2021",1
"1010594","2022",0
"1010594","2023",3
"1010595","2017",0
"1010595","2018",1
"1010595","2019",1
"1010595","2020",3
"1010595","2021",4
"1010595","2022",2
"1010595","2023",4
"1010640","2017",1
"1010640","2018",0
"1010640","2019",0
"1010640","2020",0
"1010640","2021",0
"1010640","2022",0
"1010640","2023",0
"1010671","2017",0
"1010671","2018",0
"1010671","2019",1
"1010671","2020",0
"1010671","2021",0
"1010671","2022",0
"1010671","2023",0
"1010750","2017",0
"1010750","2018",2
"1010750","2019",1
"1010750","2020",2
"1010750","2021",2
"1010750","2022",1
"1010750","2023",2
"1010760","2017",0
"1010760","2018",1
"1010760","2019",0
"1010760","2020",1
"1010760","2021",0
"1010760","2022",0
"1010760","2023",1
"1010782","2017",0
"1010782","2018",1
"1010782","2019",1
"1010782","2020",1
"1010782","2021",1
"1010782","2022",1
"1010782","2023",1
"1010810","2017",0
"1010810","2018",1
"1010810","2019",1
"1010810","2020",1
"1010810","2021",0
"1010810","2022",1
"1010810","2023",1
"1010853","2017",0
"1010853","2018",1
"1010853","2019",1
"1010853","2020",1
"1010853","2021",1
"1010853","2022",1
"1010853","2023",1
"1010920","2017",0
"1010920","2018",1
"1010920","2019",0
"1010920","2020",0
"1010920","2021",0
"1010920","2022",0
"1010920","2023",0
"1010922","2017",0
"1010922","2018",0
"1010922","2019",1
"1010922","2020",1
"1010922","2021",1
"1010922","2022",2
"1010922","2023",5
"1010925","2017",1
"1010925","2018",1
"1010925","2019",1
"1010925","2020",1
"1010925","2021",1
"1010925","2022",0
"1010925","2023",2
"1010930","2017",1
"1010930","2018",1
"1010930","2019",1
"1010930","2020",1
"1010930","2021",1
"1010930","2022",0
"1010930","2023",2
"1010933","2017",1
"1010933","2018",0
"1010933","2019",1
"1010933","2020",1
"1010933","2021",0
"1010933","2022",0
"1010933","2023",0
"1010942","2017",0
"1010942","2018",1
"1010942","2019",1
"1010942","2020",1
"1010942","2021",1
"1010942","2022",2
"1010942","2023",0
"1010943","2017",0
"1010943","2018",0
"1010943","2019",0
"1010943","2020",0
"1010943","2021",1
"1010943","2022",0
"1010943","2023",0
"1010950","2017",0
"1010950","2018",1
"1010950","2019",1
"1010950","2020",0
"1010950","2021",1
"1010950","2022",0
"1010950","2023",0
"1010952","2017",0
"1010952","2018",1
"1010952","2019",0
"1010952","2020",0
"1010952","2021",0
"1010952","2022",0
"1010952","2023",0
"1010953","2017",0
"1010953","2018",0
"1010953","2019",1
"1010953","2020",1
"1010953","2021",0
"1010953","2022",0
"1010953","2023",0
"1010968","2017",0
"1010968","2018",0
"1010968","2019",0
"1010968","2020",2
"1010968","2021",0
"1010968","2022",0
"1010968","2023",1
"1010974","2017",0
"1010974","2018",1
"1010974","2019",0
"1010974","2020",0
"1010974","2021",0
"1010974","2022",0
"1010974","2023",0
"1010976","2017",0
"1010976","2018",1
"1010976","2019",1
"1010976","2020",0
"1010976","2021",0
"1010976","2022",0
"1010976","2023",0
"1011060","2017",0
"1011060","2018",1
"1011060","2019",1
"1011060","2020",0
"1011060","2021",2
"1011060","2022",1
"1011060","2023",4
"1011061","2017",1
"1011061","2018",0
"1011061","2019",1
"1011061","2020",1
"1011061","2021",0
"1011061","2022",0
"1011061","2023",0
"1011107","2017",0
"1011107","2018",1
"1011107","2019",1
"1011107","2020",0
"1011107","2021",0
"1011107","2022",0
"1011107","2023",0
"1011134","2017",0
"1011134","2018",1
"1011134","2019",1
"1011134","2020",1
"1011134","2021",0
"1011134","2022",1
"1011134","2023",1
"1011136","2017",1
"1011136","2018",1
"1011136","2019",1
"1011136","2020",1
"1011136","2021",1
"1011136","2022",1
"1011136","2023",1
"1011137","2017",0
"1011137","2018",1
"1011137","2019",0
"1011137","2020",0
"1011137","2021",0
"1011137","2022",0
"1011137","2023",0
"1011310","2017",0
"1011310","2018",1
"1011310","2019",1
"1011310","2020",0
"1011310","2021",0
"1011310","2022",0
"1011310","2023",0
"1011315","2017",0
"1011315","2018",1
"1011315","2019",0
"1011315","2020",0
"1011315","2021",0
"1011315","2022",0
"1011315","2023",0
"1011365","2017",0
"1011365","2018",1
"1011365","2019",0
"1011365","2020",1
"1011365","2021",1
"1011365","2022",1
"1011365","2023",0
"1011367","2017",0
"1011367","2018",1
"1011367","2019",1
"1011367","2020",1
"1011367","2021",0
"1011367","2022",1
"1011367","2023",2
"1011370","2017",0
"1011370","2018",1
"1011370","2019",1
"1011370","2020",0
"1011370","2021",1
"1011370","2022",0
"1011370","2023",0
"1011376","2017",1
"1011376","2018",1
"1011376","2019",1
"1011376","2020",1
"1011376","2021",3
"1011376","2022",2
"1011376","2023",2
"1011377","2017",0
"1011377","2018",1
"1011377","2019",1
"1011377","2020",1
"1011377","2021",1
"1011377","2022",1
"1011377","2023",1
"1011398","2017",0
"1011398","2018",1
"1011398","2019",1
"1011398","2020",0
"1011398","2021",0
"1011398","2022",0
"1011398","2023",0
"1011405","2017",0
"1011405","2018",1
"1011405","2019",1
"1011405","2020",1
"1011405","2021",1
"1011405","2022",1
"1011405","2023",1
"1011490","2017",0
"1011490","2018",0
"1011490","2019",2
"1011490","2020",1
"1011490","2021",1
"1011490","2022",0
"1011490","2023",1
"1011498","2017",0
"1011498","2018",1
"1011498","2019",0
"1011498","2020",0
"1011498","2021",1
"1011498","2022",0
"1011498","2023",0
"1011521","2017",1
"1011521","2018",1
"1011521","2019",1
"1011521","2020",1
"1011521","2021",0
"1011521","2022",1
"1011521","2023",1
"1011542","2017",0
"1011542","2018",2
"1011542","2019",2
"1011542","2020",0
"1011542","2021",1
"1011542","2022",0
"1011542","2023",0
"1011543","2017",0
"1011543","2018",1
"1011543","2019",1
"1011543","2020",1
"1011543","2021",1
"1011543","2022",0
"1011543","2023",1
"1011560","2017",0
"1011560","2018",1
"1011560","2019",0
"1011560","2020",1
"1011560","2021",0
"1011560","2022",0
"1011560","2023",0
"1011570","2017",0
"1011570","2018",1
"1011570","2019",1
"1011570","2020",1
"1011570","2021",0
"1011570","2022",1
"1011570","2023",0
"1011615","2017",0
"1011615","2018",1
"1011615","2019",1
"1011615","2020",1
"1011615","2021",1
"1011615","2022",1
"1011615","2023",1
"1011640","2017",0
"1011640","2018",1
"1011640","2019",1
"1011640","2020",1
"1011640","2021",1
"1011640","2022",0
"1011640","2023",0
"1011645","2017",0
"1011645","2018",5
"1011645","2019",5
"1011645","2020",1
"1011645","2021",2
"1011645","2022",2
"1011645","2023",3
"1011750","2017",0
"1011750","2018",1
"1011750","2019",1
"1011750","2020",1
"1011750","2021",0
"1011750","2022",0
"1011750","2023",0
"1011753","2017",0
"1011753","2018",2
"1011753","2019",0
"1011753","2020",0
"1011753","2021",0
"1011753","2022",0
"1011753","2023",0
"1011756","2017",0
"1011756","2018",1
"1011756","2019",0
"1011756","2020",1
"1011756","2021",0
"1011756","2022",0
"1011756","2023",0
"1011779","2017",0
"1011779","2018",1
"1011779","2019",1
"1011779","2020",1
"1011779","2021",0
"1011779","2022",0
"1011779","2023",0
"1012162","2017",1
"1012162","2018",1
"1012162","2019",1
"1012162","2020",0
"1012162","2021",0
"1012162","2022",0
"1012162","2023",0
"1012200","2017",0
"1012200","2018",1
"1012200","2019",1
"1012200","2020",1
"1012200","2021",1
"1012200","2022",1
"1012200","2023",1
"1012215","2017",0
"1012215","2018",0
"1012215","2019",2
"1012215","2020",1
"1012215","2021",0
"1012215","2022",0
"1012215","2023",1
"1012218","2017",1
"1012218","2018",1
"1012218","2019",1
"1012218","2020",1
"1012218","2021",1
"1012218","2022",0
"1012218","2023",1
"1012374","2017",0
"1012374","2018",1
"1012374","2019",0
"1012374","2020",1
"1012374","2021",0
"1012374","2022",1
"1012374","2023",0
"1014361","2017",0
"1014361","2018",1
"1014361","2019",1
"1014361","2020",1
"1014361","2021",0
"1014361","2022",1
"1014361","2023",1
"1014362","2017",0
"1014362","2018",1
"1014362","2019",0
"1014362","2020",0
"1014362","2021",0
"1014362","2022",0
"1014362","2023",0
"1015276","2017",1
"1015276","2018",1
"1015276","2019",1
"1015276","2020",0
"1015276","2021",0
"1015276","2022",0
"1015276","2023",0
"1016235","2017",0
"1016235","2018",1
"1016235","2019",0
"1016235","2020",1
"1016235","2021",1
"1016235","2022",1
"1016235","2023",1
"1016588","2017",0
"1016588","2018",1
