,Participation.#,Sum.Amount,Date.Submitted,Date.Mailed,Name.1,Address.1,City,St,Postal,year_submitted,month_submitted,year_mailed,month_mailed,period,long_duration,class
14075,1230555,30,2023-07-13,2023-07-18T00:00:00.000,ST. JOHN LUTHERAN,2040 10TH RD,LEROY,KS,66857,2023,7,2023,7,5,0,Religious Organization
14081,2260090,60,2023-07-13,2023-07-18T00:00:00.000,ZION LUTHERAN LADIES GUILD,1202 KEMP DRIVE,BOLIVAR,MO,65613,2023,7,2023,7,5,0,Religious Organization
14087,1231715,60,2023-07-13,2023-07-18T00:00:00.000,FIRST BAPTIST CHURCH WMU,202 EAST FORD ST.,CAMERON,MO,64429,2023,7,2023,7,5,0,Religious Organization
14090,1192435,60,2023-07-13,2023-07-18T00:00:00.000,ST. JOHN LUTH CHURCH LWML,16593 FT. RILEY ROAD,LEAVENWORTH,KS,66048,2023,7,2023,7,5,0,Religious Organization
14091,2232270,30,2023-07-13,2023-07-18T00:00:00.000,W.H.F.M. CHURCH ORGANIZATION,228 CLAY ST.,IBERIA,MO,65486,2023,7,2023,7,5,0,Religious Organization
14092,1020420,60,2023-07-13,2023-07-18T00:00:00.000,BERWICK HOME BENEFIT FCE,1705 ROOSEVELT #88,SABETHA,KS,66534,2023,7,2023,7,5,0,Community
14094,1117343,90,2023-07-13,2023-07-18T00:00:00.000,NORTHERN HILLS CHRISTIAN ACAD,17211 NE 180TH ST,HOLT,MO,64048,2023,7,2023,7,5,0,Religious Organization
14083,1011367,60,2023-07-13,2023-07-18T00:00:00.000,APPANOOSE BAP CHURCH ABW,PO Box 15,Overbrook,KS,66524,2023,7,2023,7,5,0,Religious Organization
14080,1021469,60,2023-07-13,2023-07-18T00:00:00.000,CHRISTIAN WOMENS FELLOWSHIP,P.O. BOX 152,HUMANSVILLE,MO,65674,2023,7,2023,7,5,0,Religious Organization
14085,2021205,60,2023-07-13,2023-07-18T00:00:00.000,BISMARCK ASSEMBLY OF GOD WMS,528 Vandalia Dr,Bismarck,MO,63624,2023,7,2023,7,5,0,Religious Organization
14077,1197393,30,2023-07-13,2023-07-18T00:00:00.000,TRINITY LUTHERAN LWML,1552 S Rd,Hunter,KS,67452,2023,7,2023,7,5,0,Religious Organization
14076,2062132,60,2023-07-13,2023-07-18T00:00:00.000,WORLDWIDE CHURCH OF GOD,22174 E Dogwood Lane,Claremore,OK,74019,2023,7,2023,7,5,0,Religious Organization
14073,1131456,30,2023-07-13,2023-07-18T00:00:00.000,GRACE CHRISTIAN ACADEMY,102 E 1st St,Lowry City,MO,64763,2023,7,2023,7,5,0,Religious Organization
14086,2090022,60,2023-07-13,2023-07-18T00:00:00.000,ST JOE GENERAL BAPTIST CHURCH,17079 State Highway J,Bloomfield,MO,63825,2023,7,2023,7,5,0,Religious Organization
14068,2231380,90,2023-07-06,2023-11-27T00:00:00.000,SUNSHINE CHURCH GROUP,3504 SUNSHINE RD.,HARTVILLE,MO,65667,2023,7,2023,11,144,1,Religious Organization
